"id";"sermondate";"speaker";"topic";"section";"location";"remark";"audiofile";"bibleID";"updatedBy";"updatedTime";"activeFlag"
1;"2008-01-06";"黃嘉松牧師";"在恩典與真道上長進";"約1:1~12";"海沃教會";"";"20080106huang.mp3";0;"";"";"Active"
2;"2008-01-13";"黃嘉松牧師";"興旺教會的四大柱石（1）";"徒2:41-47";"海沃教會";"";"20080113huang.mp3";0;"";"";"Active"
3;"2008-01-20";"黃嘉松牧師";"興旺教會的四大柱石（2）";"徒2:41-47";"海沃教會";"";"20080120huang.mp3";0;"";"";"Active"
4;"2008-02-03";"黃嘉松牧師";"興旺教會的四大柱石（3）";"徒2:41-47";"海沃教會";"";"20080203Huang.mp3";0;"";"";"Active"
5;"2008-02-10";"黃嘉松牧師";"不要懼怕";"賽43:1-7";"海沃教會";"";"20080210huang.mp3";0;"";"";"Active"
6;"2008-02-17";"黃嘉松牧師";"不要懼怕 (2)";"約14:1-9,27";"海沃教會";"";"20080217huang.mp3";0;"";"";"Active"
7;"2008-02-24";"陳鴻沫牧師";"個人的復興";"林後5:17-19,彼前2:9-10";"海沃教會";"";"20080224chen.mp3";0;"";"";"Active"
8;"2008-03-02";"黃嘉松牧師";"伯利恆的井水";"撒下23:13-17";"海沃教會";"";"20080302huang.mp3";0;"";"";"Active"
9;"2008-03-09";"黃嘉松牧師";"要進窄門";"路13:22-25";"海沃教會";"";"20080309huang.mp3";0;"";"";"Active"
10;"2008-03-16";"李龍山傳道";"建造合神心意的家||Building the Family ... God's Way";"弗4:25-32";"海沃教會";"";"20080316lee.mp3";0;"";"";"Active"
11;"2008-03-23";"黃嘉松牧師";"遇見復活的基督";"";"海沃教會";"";"20080323huang.mp3";0;"";"";"Active"
12;"2008-03-30";"Dale Fisher 宣教士";"Battling A Giant 迎戰巨人";"撒上17:4-7, 16, 33-49";"海沃教會";"";"20080330dale.mp3";0;"";"";"Active"
13;"2008-04-06";"黃嘉松牧師";"你有永生之道";"約 6：66-69";"海沃教會";"";"20080406huang.mp3";0;"";"";"Active"
